study_accession	sample_accession	analysis_accession	analysis_type	tax_id	scientific_name	submitted_ftp
PRJEB28318	SAMEA4028908	ERZ683838	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683838/HG00247.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683838/ERZ683838.md5
PRJEB28318	SAMEA4028913	ERZ683839	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683839/ERZ683839.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683839/HG02215.cram
PRJEB28318	SAMEA4028846	ERZ683840	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683840/ERZ683840.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683840/HG00112.cram
PRJEB28318	SAMEA3491497	ERZ683841	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683841/ERZ683841.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683841/HG00260.cram
PRJEB28318	SAMEA4028897	ERZ683842	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683842/ERZ683842.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683842/HG00132.cram
PRJEB28318	SAMEA4028856	ERZ683843	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683843/HG00126.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683843/ERZ683843.md5
PRJEB28318	SAMEA4028907	ERZ683844	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683844/HG00237.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683844/ERZ683844.md5
PRJEB28318	SAMEA4028905	ERZ683845	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683845/HG00157.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683845/ERZ683845.md5
PRJEB28318	SAMEA4028851	ERZ683846	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683846/ERZ683846.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683846/HG00119.cram
PRJEB28318	SAMEA4028895	ERZ683847	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683847/HG00113.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683847/ERZ683847.md5
PRJEB28318	SAMEA4028855	ERZ683848	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683848/ERZ683848.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683848/HG00125.cram
PRJEB28318	SAMEA4028886	ERZ683849	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683849/ERZ683849.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683849/HG00262.cram
PRJEB28318	SAMEA4028868	ERZ683850	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683850/HG00148.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683850/ERZ683850.md5
PRJEB28318	SAMEA4028874	ERZ683851	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683851/ERZ683851.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683851/HG00231.cram
PRJEB28318	SAMEA3491478	ERZ683852	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683852/ERZ683852.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683852/HG00110.cram
PRJEB28318	SAMEA4028909	ERZ683853	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683853/HG00254.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683853/ERZ683853.md5
PRJEB28318	SAMEA4028881	ERZ683854	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683854/ERZ683854.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683854/HG00243.cram
PRJEB28318	SAMEA3491485	ERZ683855	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683855/ERZ683855.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683855/HG00235.cram
PRJEB28318	SAMEA4028860	ERZ683856	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683856/HG00130.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683856/ERZ683856.md5
PRJEB28318	SAMEA3491481	ERZ683857	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683857/HG00133.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683857/ERZ683857.md5
PRJEB28318	SAMEA4028896	ERZ683858	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683858/HG00115.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683858/ERZ683858.md5
PRJEB28318	SAMEA4028843	ERZ683859	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683859/HG00106.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683859/ERZ683859.md5
PRJEB28318	SAMEA3491482	ERZ683860	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683860/ERZ683860.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683860/HG00134.cram
PRJEB28318	SAMEA4028912	ERZ683861	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683861/ERZ683861.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683861/HG01791.cram
PRJEB28318	SAMEA4028845	ERZ683862	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683862/ERZ683862.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683862/HG00111.cram
PRJEB28318	SAMEA4028888	ERZ683863	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683863/HG00264.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683863/ERZ683863.md5
PRJEB28318	SAMEA4028889	ERZ683864	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683864/HG00265.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683864/ERZ683864.md5
PRJEB28318	SAMEA4028893	ERZ683865	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683865/ERZ683865.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683865/HG00107.cram
PRJEB28318	SAMEA4028864	ERZ683866	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683866/ERZ683866.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683866/HG00138.cram
PRJEB28318	SAMEA4028858	ERZ683867	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683867/HG00128.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683867/ERZ683867.md5
PRJEB28318	SAMEA3491480	ERZ683868	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683868/ERZ683868.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683868/HG00124.cram
PRJEB28318	SAMEA4028841	ERZ683869	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683869/ERZ683869.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683869/HG00102.cram
PRJEB28318	SAMEA4028876	ERZ683870	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683870/ERZ683870.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683870/HG00233.cram
PRJEB28318	SAMEA4028863	ERZ683871	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683871/HG00137.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683871/ERZ683871.md5
PRJEB28318	SAMEA4028862	ERZ683872	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683872/ERZ683872.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683872/HG00136.cram
PRJEB28318	SAMEA4028850	ERZ683873	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683873/HG00118.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683873/ERZ683873.md5
PRJEB28318	SAMEA4028906	ERZ683874	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683874/ERZ683874.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683874/HG00158.cram
PRJEB28318	SAMEA3491490	ERZ683875	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683875/HG00251.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683875/ERZ683875.md5
PRJEB28318	SAMEA4028878	ERZ683876	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683876/HG00238.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683876/ERZ683876.md5
PRJEB28318	SAMEA3491484	ERZ683877	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683877/HG00160.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683877/ERZ683877.md5
PRJEB28318	SAMEA3491493	ERZ683878	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683878/ERZ683878.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683878/HG00256.cram
PRJEB28318	SAMEA3491494	ERZ683879	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683879/HG00257.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683879/ERZ683879.md5
PRJEB28318	SAMEA4028901	ERZ683880	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683880/ERZ683880.md5;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683880/HG00146.cram
PRJEB28318	SAMEA4028898	ERZ683881	REFERENCE_ALIGNMENT	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683881/HG00135.cram;ftp.sra.ebi.ac.uk/vol1/ERZ683/ERZ683881/ERZ683881.md5
